Date : 2025-11-27 12:19:38
Directory : d:\code\math-content-recognition-
Total : 69 files,  16296 codes, 862 comments, 1253 blanks, all 18411 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON Lines       |          2 |     10,857 |          0 |          2 |     10,859 |
| Python           |         51 |      4,200 |        836 |        946 |      5,982 |
| Markdown         |          2 |        477 |          2 |        209 |        688 |
| XML              |          2 |        471 |          0 |          5 |        476 |
| YAML             |          7 |        191 |          1 |         38 |        230 |
| reStructuredText |          2 |         65 |         15 |         38 |        118 |
| Batch            |          1 |         26 |          1 |          9 |         36 |
| Makefile         |          1 |          9 |          7 |          5 |         21 |
| pip requirements |          1 |          0 |          0 |          1 |          1 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |         69 |     16,296 |        862 |      1,253 |     18,411 |
| . (Files)                                                                                       |          2 |        263 |          1 |        108 |        372 |
| .github                                                                                         |          5 |        139 |          0 |         34 |        173 |
| .github\workflows                                                                               |          5 |        139 |          0 |         34 |        173 |
| assets                                                                                          |          3 |        707 |          1 |        108 |        816 |
| docs                                                                                            |          6 |        146 |         39 |         67 |        252 |
| docs (Files)                                                                                    |          3 |         35 |          8 |         15 |         58 |
| docs\source                                                                                     |          3 |        111 |         31 |         52 |        194 |
| examples                                                                                        |         10 |     11,318 |         60 |        109 |     11,487 |
| examples (Files)                                                                                |          2 |         87 |         22 |         23 |        132 |
| examples\train_texteller                                                                        |          8 |     11,231 |         38 |         86 |     11,355 |
| examples\train_texteller (Files)                                                                |          2 |         81 |         10 |         18 |        109 |
| examples\train_texteller\dataset                                                                |          2 |     10,857 |          0 |          2 |     10,859 |
| examples\train_texteller\dataset\train                                                          |          2 |     10,857 |          0 |          2 |     10,859 |
| examples\train_texteller\utils                                                                  |          4 |        293 |         28 |         66 |        387 |
| tests                                                                                           |          3 |        130 |         20 |         49 |        199 |
| texteller                                                                                       |         40 |      3,593 |        741 |        778 |      5,112 |
| texteller (Files)                                                                               |          4 |         94 |         48 |         36 |        178 |
| texteller\api                                                                                   |         10 |        925 |        348 |        229 |      1,502 |
| texteller\api (Files)                                                                           |          5 |        768 |        246 |        183 |      1,197 |
| texteller\api\criterias                                                                         |          2 |         24 |         32 |         13 |         69 |
| texteller\api\detection                                                                         |          3 |        133 |         70 |         33 |        236 |
| texteller\cli                                                                                   |          8 |        541 |         27 |         93 |        661 |
| texteller\cli (Files)                                                                           |          1 |         13 |          3 |          8 |         24 |
| texteller\cli\commands                                                                          |          7 |        528 |         24 |         85 |        637 |
| texteller\cli\commands (Files)                                                                  |          2 |         93 |          7 |          8 |        108 |
| texteller\cli\commands\launch                                                                   |          2 |        186 |          7 |         18 |        211 |
| texteller\cli\commands\web                                                                      |          3 |        249 |         10 |         59 |        318 |
| texteller\models                                                                                |          2 |         42 |          0 |         10 |         52 |
| texteller\paddleocr                                                                             |          6 |      1,517 |        188 |        265 |      1,970 |
| texteller\types                                                                                 |          2 |         48 |          3 |         19 |         70 |
| texteller\utils                                                                                 |          8 |        426 |        127 |        126 |        679 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                        | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\code\math-content-recognition-\.github\workflows\deploy-doc.yml                              | YAML             |         29 |          0 |          3 |         32 |
| d:\code\math-content-recognition-\.github\workflows\pr-welcome.yml                              | YAML             |         33 |          0 |          9 |         42 |
| d:\code\math-content-recognition-\.github\workflows\publish.yml                                 | YAML             |         27 |          0 |          8 |         35 |
| d:\code\math-content-recognition-\.github\workflows\python-lint.yml                             | YAML             |         22 |          0 |          6 |         28 |
| d:\code\math-content-recognition-\.github\workflows\test.yaml                                   | YAML             |         28 |          0 |          8 |         36 |
| d:\code\math-content-recognition-\.pre-commit-config.yaml                                       | YAML             |         22 |          0 |          2 |         24 |
| d:\code\math-content-recognition-\README.md                                                     | Markdown         |        241 |          1 |        106 |        348 |
| d:\code\math-content-recognition-\assets\README_zh.md                                           | Markdown         |        236 |          1 |        103 |        340 |
| d:\code\math-content-recognition-\assets\fire.svg                                               | XML              |        460 |          0 |          1 |        461 |
| d:\code\math-content-recognition-\assets\logo.svg                                               | XML              |         11 |          0 |          4 |         15 |
| d:\code\math-content-recognition-\docs\Makefile                                                 | Makefile         |          9 |          7 |          5 |         21 |
| d:\code\math-content-recognition-\docs\make.bat                                                 | Batch            |         26 |          1 |          9 |         36 |
| d:\code\math-content-recognition-\docs\requirements.txt                                         | pip requirements |          0 |          0 |          1 |          1 |
| d:\code\math-content-recognition-\docs\source\api.rst                                           | reStructuredText |         15 |         10 |         15 |         40 |
| d:\code\math-content-recognition-\docs\source\conf.py                                           | Python           |         46 |         16 |         14 |         76 |
| d:\code\math-content-recognition-\docs\source\index.rst                                         | reStructuredText |         50 |          5 |         23 |         78 |
| d:\code\math-content-recognition-\examples\client_demo.py                                       | Python           |         14 |          3 |          7 |         24 |
| d:\code\math-content-recognition-\examples\train_texteller\dataset\train\metadata.example.jsonl | JSON Lines       |         35 |          0 |          1 |         36 |
| d:\code\math-content-recognition-\examples\train_texteller\dataset\train\metadata.jsonl         | JSON Lines       |     10,822 |          0 |          1 |     10,823 |
| d:\code\math-content-recognition-\examples\train_texteller\train.py                             | Python           |         51 |          9 |         16 |         76 |
| d:\code\math-content-recognition-\examples\train_texteller\train_config.yaml                    | YAML             |         30 |          1 |          2 |         33 |
| d:\code\math-content-recognition-\examples\train_texteller\utils\__init__.py                    | Python           |         16 |          0 |          2 |         18 |
| d:\code\math-content-recognition-\examples\train_texteller\utils\augraphy_pipe.py               | Python           |        140 |         17 |          9 |        166 |
| d:\code\math-content-recognition-\examples\train_texteller\utils\functional.py                  | Python           |         32 |          1 |         15 |         48 |
| d:\code\math-content-recognition-\examples\train_texteller\utils\transforms.py                  | Python           |        105 |         10 |         40 |        155 |
| d:\code\math-content-recognition-\examples\usage_examples.py                                    | Python           |         73 |         19 |         16 |        108 |
| d:\code\math-content-recognition-\tests\test_globals.py                                         | Python           |         34 |         14 |         20 |         68 |
| d:\code\math-content-recognition-\tests\test_pdf_support.py                                     | Python           |         91 |          5 |         26 |        122 |
| d:\code\math-content-recognition-\tests\test_to_katex.py                                        | Python           |          5 |          1 |          3 |          9 |
| d:\code\math-content-recognition-\texteller\__init__.py                                         | Python           |          3 |          0 |          2 |          5 |
| d:\code\math-content-recognition-\texteller\api\__init__.py                                     | Python           |         25 |          0 |          2 |         27 |
| d:\code\math-content-recognition-\texteller\api\criterias\__init__.py                           | Python           |          2 |          0 |          3 |          5 |
| d:\code\math-content-recognition-\texteller\api\criterias\ngram.py                              | Python           |         22 |         32 |         10 |         64 |
| d:\code\math-content-recognition-\texteller\api\detection\__init__.py                           | Python           |          2 |          0 |          2 |          4 |
| d:\code\math-content-recognition-\texteller\api\detection\detect.py                             | Python           |         40 |         21 |          9 |         70 |
| d:\code\math-content-recognition-\texteller\api\detection\preprocess.py                         | Python           |         91 |         49 |         22 |        162 |
| d:\code\math-content-recognition-\texteller\api\format.py                                       | Python           |        431 |         88 |        135 |        654 |
| d:\code\math-content-recognition-\texteller\api\inference.py                                    | Python           |        174 |         67 |         17 |        258 |
| d:\code\math-content-recognition-\texteller\api\katex.py                                        | Python           |         89 |         24 |         20 |        133 |
| d:\code\math-content-recognition-\texteller\api\load.py                                         | Python           |         49 |         67 |          9 |        125 |
| d:\code\math-content-recognition-\texteller\cli\__init__.py                                     | Python           |         13 |          3 |          8 |         24 |
| d:\code\math-content-recognition-\texteller\cli\commands\__init__.py                            | Python           |          0 |          3 |          1 |          4 |
